% The software computes absolute indices (n), relative to vacuum as follows: 									
%	Phase index: n = na . nair								
%	Group index: ng = nair . nga - lambda . na . dnair / dlambda								
%									
% However, it is the absolute group indices which must be entered numerically in the software (Numeric) or the model description files   									
%									
% The possible methods for specifying the relative refractive indices in this file are:									
%									
% Relative group index and index CTE at 1310 nm:									
% NG_1310	<Name>   	nga 	dn/dT						
%									
% Wavelength Lbi (um) and relative phase indices around 1310 nm. Last term is phase index CTE:									
% N_LAMBDA	<Name>		Count	Lb1	na(Lb1)	Lb2	na(Lb2) …	dn/dT	
%									
% Sellmeier coefficients na^2(Lb) = 1 + B1.Lb^2/(Lb^2-C1) + B2.Lb^2/(Lb^2-C2) + B3.Lb^2/(Lb^2-C3):									
% SELLMEIER	<Name> 	 B1 	 B2 	 B3 	 C1 	 C2 	 C3 	 dn/dT 	 
%									
% Series expansion na^2(Lb) = A0 + A1.Lb^2 + A2.Lb^-2 + A3.Lb^-4 + A4.Lb^-6 + A5.Lb^-8:									
% CAUCHY	<Name> 	 A0 	 A1 	 A2 	 A3 	 A4 	 A5 	 dn/dT 	 
%									
%*********************************************************************************************************************************************									
%									
AIR	Air
CAUCHY	E-F3          	2.53626970E+00	-1.06104240E-02	2.12338210E-02	9.90121050E-04	-5.99843480E-05	8.23543660E-06	0.00000000E+00
CAUCHY	E-F5          	2.50956730E+00	-1.08626610E-02	1.98947740E-02	1.01371340E-03	-6.26971170E-05	7.50800450E-06	0.00000000E+00
CAUCHY	E-F8          	2.48665610E+00	-1.01884840E-02	1.92874170E-02	8.85537370E-04	-5.09371060E-05	6.42569560E-06	0.00000000E+00
CAUCHY	E-FD1         	2.85084990E+00	-1.32346100E-02	2.94153250E-02	2.55426660E-03	-2.12321330E-04	2.22619360E-05	0.00000000E+00
CAUCHY	E-FD10        	2.88151800E+00	-1.32283120E-02	3.14555900E-02	2.68516660E-03	-2.25775440E-04	2.46932680E-05	0.00000000E+00
CAUCHY	E-FD13        	2.92059060E+00	-1.36816180E-02	3.25677600E-02	2.87255190E-03	-2.42771070E-04	2.66145140E-05	0.00000000E+00
CAUCHY	E-FD15      	2.79199430E+00	-1.23112060E-02	2.88027410E-02	2.14300590E-03	-1.69321190E-04	1.97417660E-05	0.00000000E+00
CAUCHY	E-FD2      	2.63996440E+00	-1.16457180E-02	2.30617330E-02	1.73482190E-03	-1.39860590E-04	1.39166700E-05	0.00000000E+00
CAUCHY	E-FD4         	2.96731730E+00	-1.39895650E-02	3.34566800E-02	3.07178040E-03	-2.66824350E-04	2.89502410E-05	0.00000000E+00
CAUCHY	E-FD5      	2.71358390E+00	-1.14197190E-02	2.61337080E-02	1.75764790E-03	-1.33077370E-04	1.52033510E-05	0.00000000E+00
